isoTime,mean,median,count
2016-10-13,0.06349237465667429,0.0632,21481
2016-10-14,0.05695367823150144,0.0549,32570
2016-10-15,0.06162538051381546,0.0615,30945
2016-10-16,0.06507273525537768,0.0629,27332
2016-10-17,0.05264296871389665,0.0524,21639
2016-10-18,0.10770999678559931,0.057,6222
2016-10-19,0.25561645331432525,0.245,35075
2016-10-20,0.14606325697117775,0.1385,21302
2016-10-21,0.07486742913527054,0.0746,33444
2016-10-22,0.08397724715130446,0.0871,35367
2016-10-23,0.06644519989814021,0.0609,27489
2016-10-24,0.06663262224145516,0.0663,23110
2016-10-25,0.056188982707378016,0.0554,29608
2016-10-26,0.0534348158207425,0.0531,29455
2016-10-27,0.05746596993968758,0.0568,31337
2016-10-28,0.1330302801724182,0.1334,34336
2016-10-29,0.0935690649488271,0.0952,35859
2016-10-30,0.17924222845401366,0.1804,36016
2016-10-31,0.18164392120188624,0.1863,33148
2016-11-01,0.1862085281216937,0.1852,36022
2016-11-02,0.052328678553577125,0.0486,36006
2016-11-03,,,0
2016-11-04,0.07679254896461311,0.0751,21393
2016-11-05,0.05375323402478448,0.053,35915
2016-11-06,0.04554366314042743,0.0465,33747
2016-11-07,0.060219057154494667,0.0609,29464
2016-11-08,0.21401380702004275,0.2167,35185
2016-11-09,0.28743115450384304,0.2868,18129
2016-11-10,0.3544875897286135,0.3549,34270
2016-11-11,0.23763043636770417,0.2371,35658
2016-11-12,0.08350990536635519,0.0858,35294
2016-11-13,0.06103768802485316,0.0609,32509
2016-11-14,0.0696881710697535,0.0699,35354
2016-11-15,0.05623808323190331,0.0536,34506
2016-11-16,0.05624005020080224,0.0542,19920
2016-11-17,0.06277064396743032,0.0616,13510
2016-11-18,0.07948089977220697,0.0818,35120
2016-11-19,0.07226270525265427,0.07200000000000001,33069
2016-11-20,0.08039346691124531,0.0788,28348
2016-11-21,0.13763597945300704,0.1413,36015
2016-11-22,0.14908320848413809,0.1467,35643
2016-11-23,0.1981039395378837,0.1978,35791
2016-11-24,0.14454854573712092,0.1446,36032
2016-11-25,0.04017267843438293,0.0399,28666
2016-11-26,0.05808876322189503,0.059000000000000004,34129
2016-11-27,0.09443081159616312,0.0926,29596
2016-11-28,0.09088393163370267,0.0903,34988
2016-11-29,0.09422728256227801,0.0884,35125
2016-11-30,0.17193262225044048,0.1649,34642
2016-12-01,0.1846884803921569,0.13390000000000002,408
2016-12-02,,,0
2016-12-03,,,0
2016-12-04,,,0
2016-12-05,,,0
2016-12-06,,,0
2016-12-07,,,0
2016-12-08,0.23741771486349927,0.2343,4945
2016-12-09,,,0
2016-12-10,,,0
2016-12-11,,,0
2016-12-12,,,0
2016-12-13,0.14622298288508587,0.1576,22086
2016-12-14,0.08184200143472027,0.0801,13940
2016-12-15,0.0832280218072933,0.0834,35401
2016-12-16,0.057708613317043946,0.0564,27829
2016-12-17,0.058004770504138534,0.0521,19935
2016-12-18,,,0
2016-12-19,,,0
2016-12-20,,,0
2016-12-21,,,0
2016-12-22,0.19211282830349333,0.1913,34229
2016-12-23,0.12854095853915776,0.1246,36034
2016-12-24,0.09559539451781093,0.095,36044
2016-12-25,0.0664907598004285,0.0652,35075
2016-12-26,0.09453876746785854,0.0914,35780
2016-12-27,0.094195763871434,0.0917,35811
2016-12-28,0.0931273215184229,0.0962,35774
2016-12-29,0.06745843056185143,0.0679,35312
2016-12-30,0.12827523580172354,0.1355,34881
2016-12-31,,,0
2017-01-01,0.15477898697214623,0.162,17808
2017-01-02,0.06761923719708676,0.0712,33508
2017-01-03,0.07042934249264023,0.0701,34646
2017-01-04,0.06729327515250795,0.0652,34261
2017-01-05,0.10856866807964892,0.1051,35858
2017-01-06,0.10331056482670338,0.0996,23370
2017-01-07,0.1487153115771353,0.1485,26751
2017-01-08,0.13511349415650897,0.1365,36023
2017-01-09,0.09472363661735904,0.0936,35830
2017-01-10,0.0980716952615507,0.0911,35729
2017-01-11,0.10830063699775241,0.1065,34694
2017-01-12,0.09780811383928498,0.1019,35840
2017-01-13,0.07635684931507151,0.069,35916
2017-01-14,0.06761858860265448,0.0614,32025
2017-01-15,0.12199690522784638,0.1154,35770
2017-01-16,0.08222024624590024,0.0828,34762
2017-01-17,0.06425007141929596,0.061,7701
2017-01-18,0.0614672771328728,0.0605,35492
2017-01-19,0.06281301926128455,0.0609,32137
2017-01-20,0.09603434417866578,0.0934,35284
2017-01-21,0.08450655654527284,0.0807,35476
2017-01-22,0.08637366083445477,0.0841,7430
2017-01-23,,,0
2017-01-24,,,0
2017-01-25,0.07993882084998513,0.0855,23271
2017-01-26,0.08830228003412112,0.0824,30482
2017-01-27,0.0606726216291335,0.0586,35970
2017-01-28,0.09284873814363423,0.09,35424
2017-01-29,0.10979872422035838,0.1058,35978
2017-01-30,0.08695082278657709,0.0869,35793
2017-01-31,0.08998587186503337,0.0904,35447
2017-02-01,0.10649257574076346,0.1073,36044
2017-02-02,0.0742704609648657,0.0708,35404
2017-02-03,0.11979157768240678,0.1187,29125
2017-02-04,0.056224955030916623,0.0497,35580
2017-02-05,0.10342812901783457,0.1028,35778
2017-02-06,0.11745850051332607,0.11699999999999999,36039
2017-02-07,0.15656755049577667,0.1643,13615
2017-02-08,0.21088117840475146,0.2173,18856
2017-02-09,0.09332366587142181,0.0882,31856
2017-02-10,0.09141136331831445,0.09300000000000001,35729
2017-02-11,0.16662260718465297,0.1652,28199
2017-02-12,,,0
2017-02-13,,,0
2017-02-14,0.24112261239160018,0.2425,35056
2017-02-15,0.07376102023245912,0.0737,32522
2017-02-16,0.0834614145576973,0.0835,34456
2017-02-17,0.06527691055541486,0.0635,35631
2017-02-18,0.07125814021621484,0.0654,34133
2017-02-19,0.14762362692286912,0.1488,36014
2017-02-20,0.16054387222222702,0.1668,36000
2017-02-21,0.04121908385466426,0.0397,33248
2017-02-22,0.12737830795356064,0.1205,35921
2017-02-23,0.04322890224636711,0.0384,25953
2017-02-24,0.046149325807463115,0.0416,35079
2017-02-25,0.10061623100641566,0.1015,35999
2017-02-26,0.15941807641074832,0.1539,33032
2017-02-27,0.21102894136436662,0.1958,35064
2017-02-28,0.27790275551102145,0.2763,3992
2017-03-01,,,0
2017-03-02,,,0
2017-03-03,,,0
2017-03-04,0.0796090964220741,0.0734,3298
2017-03-05,0.12496350162368555,0.1206,36029
2017-03-06,0.0675863053221307,0.0618,35700
2017-03-07,0.1381449388978568,0.1349,30359
2017-03-08,0.2299101044932069,0.1919,9570
2017-03-09,0.25053604105570865,0.2422,34100
2017-03-10,0.21865200308166421,0.2278,2596
2017-03-11,0.14108650879214735,0.1331,26899
2017-03-12,0.1504082167029136,0.1469,32653
2017-03-13,0.17203077549186627,0.1697,35629
2017-03-14,0.1391323570984297,0.1316,35374
2017-03-15,0.11556668161032335,0.1152,33459
2017-03-16,0.10903864776019304,0.1054,35896
2017-03-17,0.07873173017824757,0.0782,32540
2017-03-18,0.15380121679567813,0.1587,35914
2017-03-19,0.12551785029324844,0.1293,35977
2017-03-20,0.07193686954518422,0.0673,34717
2017-03-21,0.08083933136380124,0.0798,33172
2017-03-22,0.06793294041705666,0.0679,35631
2017-03-23,0.07914568191355964,0.0758,35745
2017-03-24,0.09530115617982866,0.0913,20931
2017-03-25,0.052755926646290786,0.0528,35990
2017-03-26,0.053751710941646956,0.0533,35799
2017-03-27,0.058101297930094574,0.05845,35364
2017-03-28,0.05306668136390298,0.0528,27216
2017-03-29,0.06383060124698531,0.0635,31917
2017-03-30,0.05338116464676364,0.0538,33830
2017-03-31,0.05501894763021184,0.0549,28146
2017-04-01,0.06645920458493144,0.0666,34548
2017-04-02,0.06737420058749762,0.0675,35745
2017-04-03,0.06747509931181032,0.0685,35746
2017-04-04,0.03539866871766129,0.0359,35755
2017-04-05,0.10478833926220246,0.107,35701
2017-04-06,0.08220571604868554,0.0821,35654
2017-04-07,0.09426817286075094,0.0943,36029
2017-04-08,0.06645867629081946,0.0651,34358
2017-04-09,0.05492246099172287,0.0547,36018
2017-04-10,0.05287584975261751,0.0518,34157
2017-04-11,0.08442930254634902,0.0885,35816
2017-04-12,0.0845368927355224,0.08124999999999999,35240
2017-04-13,0.11863029060891331,0.1192,35374
2017-04-14,0.13063206552227122,0.11199999999999999,35652
2017-04-15,0.0746513123956854,0.0608,32955
2017-04-16,0.08771089167488459,0.0932,35495
2017-04-17,0.0586491186707041,0.0589,35628
2017-04-18,0.06802770305676913,0.0655,34350
2017-04-19,0.1048804491527895,0.1053,34643
2017-04-20,0.0807677852349021,0.081,35760
2017-04-21,0.07833958198360931,0.0757,35501
2017-04-22,0.07913542966737011,0.0766,34934
2017-04-23,0.08008096933728606,0.0789,35385
2017-04-24,0.1346488242316627,0.136,36019
2017-04-25,0.12140847370525103,0.1283,35026
2017-04-26,0.16960529636764599,0.1733,35817
2017-04-27,0.10748200329599442,0.0998,35801
2017-04-28,0.09890845082433354,0.098,35180
2017-04-29,0.09172870596244245,0.0913,35254
2017-04-30,0.264769087947882,0.2563,15350
2017-05-01,,,0
2017-05-02,0.22769133224950638,0.2263,23374
2017-05-03,0.2615675352877297,0.2591,5526
2017-05-04,0.08642844279812115,0.0854,35095
2017-05-05,0.0482366491691094,0.048,34481
2017-05-06,0.05855618561041864,0.0582,35623
2017-05-07,0.08205479657577187,0.0819,33993
2017-05-08,0.07034132500517938,0.0698,33781
2017-05-09,0.09768287169959491,0.09699999999999999,35526
2017-05-10,0.11906297908909191,0.1076,34910
2017-05-11,0.1008784279451757,0.0993,36042
2017-05-12,0.08119072185970923,0.0762,34328
2017-05-13,0.09571452285619048,0.0957,35964
2017-05-14,0.10908270991730644,0.106,36038
2017-05-15,0.13702362344582592,0.133,1689
2017-05-16,0.08192408551068892,0.0779,4210
2017-05-17,0.03726774157460378,0.0364,35755
2017-05-18,0.04306986036880748,0.0424,35737
2017-05-19,0.09123233840736505,0.09145,35212
2017-05-20,0.14424214374086436,0.1431,35564
2017-05-21,0.156978910348799,0.1546,34690
2017-05-22,0.1538357971847153,0.153,34810
2017-05-23,0.12897257995123895,0.1244,34865
2017-05-24,0.09623983874128762,0.0961,35719
2017-05-25,0.10095196920673552,0.0984,35852
2017-05-26,0.0703081073233085,0.0694,34438
2017-05-27,0.08193015840955913,0.0777,34657
2017-05-28,0.11933818705115963,0.1154,35787
2017-05-29,0.12680881113642686,0.1278,32039
2017-05-30,0.1348537926391374,0.1281,35648
2017-05-31,0.15868559540150307,0.1574,34968
2017-06-01,0.13161129371738686,0.1314,34683
2017-06-02,0.0827319411617503,0.0821,35963
2017-06-03,0.09999122410333806,0.0982,35381
2017-06-04,0.13095304655575174,0.1312,27408
2017-06-05,0.10539886392757028,0.1061,35121
2017-06-06,0.08166352768692876,0.0756,35468
2017-06-07,0.08272985768554625,0.0798,35274
2017-06-08,0.11875618150086882,0.1181,28650
2017-06-09,0.08606535513251828,0.0843,35353
2017-06-10,0.10679014032601068,0.0958,35275
2017-06-11,0.12485047204897884,0.1249,34954
2017-06-12,0.11981601463796797,0.1162,34431
2017-06-13,0.12765852815846201,0.1165,34732
2017-06-14,0.13870270024444675,0.1333,35182
2017-06-15,0.14569848476249875,0.1455,35242
2017-06-16,0.1132223020971906,0.1176,35333
2017-06-17,0.36964584391176847,0.3385,30329
2017-06-18,0.22930385069691178,0.2247,25398
2017-06-19,0.07804071262853625,0.0761,34913
2017-06-20,0.0733181741484139,0.0735,28447
2017-06-21,0.07069630776726292,0.0695,28736
2017-06-22,0.09972872487473754,0.0983,34726
2017-06-23,0.10199833508587948,0.1024,34236
2017-06-24,0.10512614216903166,0.1027,34255
2017-06-25,0.10891744462279722,0.1081,31150
2017-06-26,0.11062289767257641,0.0982,35318
2017-06-27,0.0926432417072916,0.0919,33433
2017-06-28,0.07622825562817304,0.0752,34425
2017-06-29,0.07415227444918941,0.07200000000000001,32997
2017-06-30,0.2521855417417297,0.2637,33863
2017-07-01,0.2683138918840146,0.2678,34315
2017-07-02,0.20109120087905635,0.2031,34583
2017-07-03,0.18463583315650492,0.182,32989
2017-07-04,0.12608338818227494,0.1259,33729
2017-07-05,0.11639081564986219,0.1156,33176
2017-07-06,0.08691164002576363,0.0887,34158
2017-07-07,0.05151292913164326,0.0514,21293
2017-07-08,0.046234995246017284,0.0459,16828
2017-07-09,0.05228407125399559,0.0509,21276
2017-07-10,0.06838194449820119,0.0677,25837
2017-07-11,0.07389701119825014,0.0727,25629
2017-07-12,0.1616079054096188,0.1478,32054
2017-07-13,0.07003681518698004,0.066,33239
2017-07-14,0.12102217392598752,0.1152,33589
2017-07-15,0.09784641318271482,0.096,34348
2017-07-16,0.07755939725171411,0.077,32020
2017-07-17,0.07308180708180624,0.07200000000000001,31941
2017-07-18,0.10962960430703834,0.1091,30276
2017-07-19,0.13098956438487172,0.1288,33424
2017-07-20,0.1495413150293322,0.1389,33581
2017-07-21,0.09922886260159262,0.0971,23501
2017-07-22,,,0
2017-07-23,0.08441467148628402,0.0858,28218
2017-07-24,0.12084973772402209,0.1218,27452
2017-07-25,0.07338846589870145,0.0734,27345
2017-07-26,0.07370202949780663,0.0735,32816
2017-07-27,0.0753081430023725,0.0741,29510
2017-07-28,0.12291734476695744,0.1205,32419
2017-07-29,0.3999505978024126,0.3995,20659
2017-07-30,0.1315538554004985,0.1311,34108
2017-07-31,0.08697292449758331,0.0869,33787
2017-08-01,0.08453171932448435,0.085,32094
2017-08-02,0.10820574002804778,0.1031,33519
2017-08-03,0.12419714768847363,0.1237,31343
2017-08-04,0.11312052366626167,0.1126,33571
2017-08-05,0.11699020686873463,0.126,34708
2017-08-06,0.08866460349907324,0.0808,33266
2017-08-07,0.06404366781738725,0.0646,25781
2017-08-08,0.0724021497132712,0.0704,32609
2017-08-09,0.07727499438472402,0.0765,31165
2017-08-10,0.10830913918135701,0.0831,32957
2017-08-11,0.16744134693170634,0.1534,34612
2017-08-12,0.08830906140273624,0.0892,33891
2017-08-13,0.075109661254757,0.0747,29934
2017-08-14,0.08901097420316494,0.0846,35547
2017-08-15,0.09219752274157429,0.0925,34958
